Level0,Level1,Level2,Level3,Level4,Level5,Level6,Level7,Level8,Level9,Level10,Level11,Level12,Level13,Level14,Level15,Level16,Level17,Level18,Level19,Level20,Level21,Level22,Level23,Level24,Level25,Level26,Level27,Level28,Level29,Level30
"Transmission Network Construction","3 Route Finalisation & Design","3.2 Preliminary design",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","3 Route Finalisation & Design","3.2 Preliminary design","3.2.1 Line profile and stringing clearances",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","3 Route Finalisation & Design","3.2 Preliminary design","3.2.2 Preliminary tower locations and types",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","3 Route Finalisation & Design","3.2 Preliminary design","3.2.3 Preliminary foundation types",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","3 Route Finalisation & Design","3.3 Detailed design",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","3 Route Finalisation & Design","3.3 Detailed design","3.3.1 Civil/structural designs (foundations, access)",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","3 Route Finalisation &Design","3.3 Detailed design","3.3.2 Tower/tower foundation design drawings",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","3 Route Finalisation & Design","3.3 Detailed design","3.3.3 Electrical design (conductor selection, insulators, hardware)",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","3 Route Finalisation & Design","3.3 Detailed design","3.3.4 Protection & control design for line and substations",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","3 Route Finalisation & Design","3.3 Detailed design","3.3.5 SCADA/communication requirements",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","3 Route Finalisation & Design","3.4 Design review and approvals",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","4 Procurement & Logistics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","4 Procurement & Logistics","4.1 Procurement management",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","4 Procurement & Logistics","4.1 Procurement management","4.1.1 Tendering and bid evaluation",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","4 Procurement & Logistics","4.1 Procurement management","4.1.2 Contract award",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","4 Procurement & Logistics","4.2 Materials & equipment procurement",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","4 Procurement & Logistics","4.2 Materials & equipment procurement","4.2.1 Towers and fittings",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","4 Procurement & Logistics","4.2 Materials & equipment procurement","4.2.2 Conductors, shield wires, OPGW",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","4 Procurement & Logistics","4.2 Materials & equipment procurement","4.2.3 Insulators, clamps, vibration dampers",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","4 Procurement & Logistics","4.2 Materials & equipment procurement","4.2.4 Foundations materials (reinforcement, concrete)",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","4 Procurement & Logistics","4.2 Materials & equipment procurement","4.2.5 Stringing equipment, winches, tensioners",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","4 Procurement & Logistics","4.2 Materials & equipment procurement","4.2.6 Heavy-lift cranes and transport vehicles",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","4 Procurement & Logistics","4.3 Vendor management & QA/QC of supplied materials",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","4 Procurement & Logistics","4.4 Logistics & stockyards",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","4 Procurement & Logistics","4.4 Logistics & stockyards","4.4.1 Transport to stockyard",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","4 Procurement & Logistics","4.4 Logistics & stockyards","4.4.2 Site storage and handling",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","5 Site Preparation & Civil Works",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","5 Site Preparation & Civil Works","5.1 Site mobilization",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","5 Site Preparation & Civil Works","5.1 Site mobilization","5.1.1 Site offices & camps",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","5 Site Preparation & Civil Works","5.1 Site mobilization","5.1.2 Access road construction / improvement",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","5 Site Preparation & Civil Works","5.1 Site mobilization","5.1.3 Temporary works (bridges, culverts)",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","5 Site Preparation & Civil Works","5.2 Foundation works",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","5 Site Preparation & Civil Works","5.2 Foundation works","5.2.1 Foundation excavation",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","5 Site Preparation & Civil Works","5.2 Foundation works","5.2.2 Reinforcement and formwork",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","5 Site Preparation & Civil Works","5.2 Foundation works","5.2.3 Concrete pouring & curing",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","5 Site Preparation & Civil Works","5.2 Foundation works","5.2.4 Foundation backfill and protection",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","5 Site Preparation & Civil Works","5.3 Tower assembly areas and preparation",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","5 Site Preparation & Civil Works","5.4 Drainage, erosion control, and environmental mitigation",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","6 Tower Fabrication, Assembly & Erection",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","6 Tower Fabrication, Assembly & Erection","6.1 Tower fabrication (if in scope)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","6 Tower Fabrication, Assembly & Erection","6.1 Tower fabrication (if in scope)","6.1.1 Fabrication quality control",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","6 Tower Fabrication, Assembly & Erection","6.1 Tower fabrication (if in scope)","6.1.2 Galvanizing and finish",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","6 Tower Fabrication, Assembly & Erection","6.1 Tower fabrication (if in scope)","6.1.3 Factory acceptance tests",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","6 Tower Fabrication, Assembly & Erection","6.2 Tower delivery to site",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","6 Tower Fabrication, Assembly & Erection","6.3 Tower assembly & erection",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","6 Tower Fabrication, Assembly & Erection","6.3 Tower assembly & erection","6.3.1 Assembly of tower sections",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","6 Tower Fabrication, Assembly & Erection","6.3 Tower assembly & erection","6.3.2 Erection (crane-assisted or gin-pole methods)",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","6 Tower Fabrication, Assembly & Erection","6.3 Tower assembly & erection","6.3.3 Bolting, torqueing, and NDT as required",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","6 Tower Fabrication, Assembly & Erection","6.4 Tower surveying and alignment",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","7 Conductor Stringing & Line Works",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","7 Conductor Stringing & Line Works","7.1 Sag-tension calculations and preparation",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","7 Conductor Stringing & Line Works","7.2 Pilot line & messenger installation",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","7 Conductor Stringing & Line Works","7.3 Pulling, tensioning and sagging conductors",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","7 Conductor Stringing & Line Works","7.3 Pulling, tensioning and sagging conductors","7.3.1 Conductor splicing and jointing",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","7 Conductor Stringing & Line Works","7.3 Pulling, tensioning and sagging conductors","7.3.2 Installation of vibration dampers and spacers",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","7 Conductor Stringing & Line Works","7.4 Shield wire/OPGW installation (if applicable)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","7 Conductor Stringing & Line Works","7.5 Grounding & earthing of towers",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","7 Conductor Stringing & Line Works","7.6 Insulator and hardware installation",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","8 Substation & Interconnection Works",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","8 Substation & Interconnection Works","8.1 Substation civil works (if included)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","8 Substation & Interconnection Works","8.2 Installation of transformers, switchgear, and busbars",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","8 Substation & Interconnection Works","8.3 Protection & control system installation",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","8 Substation & Interconnection Works","8.4 Fiber/communication integration",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","8 Substation & Interconnection Works","8.5 Secondary systems testing and configuration",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","9 Testing, Commissioning & Energization",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","9 Testing, Commissioning & Energization","9.1 Pre-commissioning checks",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","9 Testing, Commissioning & Energization","9.1 Pre-commissioning checks","9.1.1 Mechanical inspections",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","9 Testing, Commissioning & Energization","9.1 Pre-commissioning checks","9.1.2 Electrical continuity and insulation testing",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","9 Testing, Commissioning & Energization","9.1 Pre-commissioning checks","9.1.3 Protection relay configuration checks",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","9 Testing, Commissioning & Energization","9.2 System commissioning (no-load tests, functional tests)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","9 Testing, Commissioning & Energization","9.3 Trial energization and synchronization",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","9 Testing, Commissioning & Energization","9.4 Performance verification and acceptance testing",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","9 Testing, Commissioning & Energization","9.5 Safety verification and sign-off",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","10 Environment, Social & HSE Management",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","10 Environment, Social & HSE Management","10.1 Implementation of environmental management measures",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","10 Environment, Social & HSE Management","10.2 Community liaison and grievance mechanisms",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","10 Environment, Social & HSE Management","10.3 Health & safety compliance monitoring",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","10 Environment, Social & HSE Management","10.4 Emergency response planning",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","11 Operations Readiness & Handover",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","11 Operations Readiness & Handover","11.1 Training of O&M staff",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","11 Operations Readiness & Handover","11.2 As-built documentation compilation",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","11 Operations Readiness & Handover","11.3 Spare parts and tools handover",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","11 Operations Readiness & Handover","11.4 Handover certificate and acceptance",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","12 Close-out & Lessons Learned",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","12 Close-out & Lessons Learned","12.1 Final documentation and archive",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","12 Close-out & Lessons Learned","12.2 Financial close-out",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transmission Network Construction","12 Close-out & Lessons Learned","12.3 Lessons learned workshop",,,,,,,,,,,,,,,,,,,,,,,,,,,,
